Ticker,Company,Sector,Industry,Country
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA
AA,Alcoa Corporation,Basic Materials,Aluminum,USA
AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China
AACQ,Artius Acquisition Inc.,Financial,Shell Companies,USA
AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA
AAL,American Airlines Group Inc.,Industrials,Airlines,USA
AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA
AAME,Atlantic American Corporation,Financial,Insurance - Life,USA
AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA
AAPL,Apple Inc.,Technology,Consumer Electronics,USA
AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA
AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA
AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada
AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA
AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA
ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada
ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA
ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA
ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA
ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA
